phase,experiment,configuration,split,n_seeds,seed_type,primary_pr_auc,primary_pr_auc_std,severity_pr_auc,severity_pr_auc_std,pr_auc,pr_auc_std,roc_auc,f1,precision,recall,specificity,balanced_accuracy,mcc,brier,ece,decision,source
Phase 2b,Output scale: fixed 0.5,"fixed_scale, alpha=0.5",primary,5,full,,,,,0.8197,0.1425,,,,,,,,0.166,0.352,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: fixed 0.5,"fixed_scale, alpha=0.5",severity,5,full,,,,,0.3882,0.0516,,,,,,,,0.218,0.367,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: fixed 2.0,"fixed_scale, alpha=2.0",primary,5,full,,,,,0.842,0.1224,,,,,,,,0.099,0.224,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2b,Output scale: fixed 2.0,"fixed_scale, alpha=2.0",severity,5,full,,,,,0.4026,0.0375,,,,,,,,0.197,0.332,Not supported as major contributor,QGNN_V4_PHASE2B_REPORT.md Table (4)
Phase 2c,LayerNorm affine,"6q/2L, LayerNorm(elementwise_affine=True)",primary,5,full,,,,,0.8002,0.073,0.9765,0.6476,0.5191,0.8612,0.9426,0.9019,0.6393,0.0568,0.1456,Mixed evidence,QGNN_V4_PHASE2C_REPORT.md Table 1/3
Phase 2c,LayerNorm affine,"6q/2L, LayerNorm(elementwise_affine=True)",severity,5,full,,,,,0.4077,0.071,0.6505,0.4151,0.4401,0.4164,0.9505,0.6835,0.3747,0.1184,0.2304,Mixed evidence,QGNN_V4_PHASE2C_REPORT.md Table 2/3
Phase 3,Qubit count: 4 qubits,"4q/2L StronglyEntangling, LayerNorm-no-affine",primary,5,full,,,,,0.847,0.102,,,,,,,,,,Mixed evidence,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Qubit count: 4 qubits,"4q/2L StronglyEntangling, LayerNorm-no-affine",severity,5,full,,,,,0.396,0.03,,,,,,,,,,Mixed evidence,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Qubit count: 8 qubits,"8q/2L StronglyEntangling, LayerNorm-no-affine",primary,5,full,,,,,0.81,0.091,,,,,,,,,,Not supported as major contributor,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Qubit count: 8 qubits,"8q/2L StronglyEntangling, LayerNorm-no-affine",severity,5,full,,,,,0.364,0.054,,,,,,,,,,Not supported as major contributor,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Circuit depth: 1 layer,"6q/1L StronglyEntangling, LayerNorm-no-affine",primary,5,full,,,,,0.693,0.198,,,,,,,,,,Not supported as major contributor,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Circuit depth: 1 layer,"6q/1L StronglyEntangling, LayerNorm-no-affine",severity,5,full,,,,,0.386,0.017,,,,,,,,,,"Mixed evidence (tightest severity std observed, but weak primary)",QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Circuit depth: 3 layers,"6q/3L StronglyEntangling, LayerNorm-no-affine",primary,5,full,,,,,0.804,0.186,,,,,,,,,,Not supported as major contributor,QGNN_V4_PHASE4_PLAN.md section 0 (Phase 3 carryover)
Phase 3,Circuit depth: 3 layers,"6q/3L StronglyEntangling, LayerNorm-no-affine",severity,0,"killed, no data",,,,,,,,,,,,,,,,"Inconclusive (run killed, zero usable data)","Phase 3 batch, killed by user request"
Phase 4 Stage 1,Representation diagnostic: Logistic Regression,"raw 128D frozen embedding, sklearn LogisticRegression -- DIAGNOSTIC, not an end-to-end model",primary,5,full,,,,,0.6706,0.0426,0.9662,0.5739,,,,,0.5532,,,Diagnostic (representation contains signal; not a competing end-to-end model),"QGNN_V4_PHASE4_RESULTS.md (Stage 1) A1, re-verified against experiments/qgnn_v4/phase4_stage1/representation_diagnostics.csv"
Phase 4 Stage 1,Representation diagnostic: Logistic Regression,"raw 128D frozen embedding, sklearn LogisticRegression -- DIAGNOSTIC, not an end-to-end model",severity,5,full,,,,,0.4646,0.0051,0.7311,0.471,,,,,0.4336,,,"Diagnostic (numerically exceeds both end-to-end references on severity PR-AUC; not a competing end-to-end model, see QGNN_V4_FINAL_RESEARCH_SUMMARY.md section 9's correction)","QGNN_V4_PHASE4_RESULTS.md (Stage 1) A1, re-verified against experiments/qgnn_v4/phase4_stage1/representation_diagnostics.csv"
Phase 4 Stage 1,Representation diagnostic: MLP,"raw 128D frozen embedding, sklearn MLPClassifier(64)",primary,5,full,,,,,0.733,0.063,0.977,,,,,,,,,Supported contributor to understanding,QGNN_V4_PHASE4_RESULTS.md (Stage 1) A1
Phase 4 Stage 1,Representation diagnostic: MLP,"raw 128D frozen embedding, sklearn MLPClassifier(64)",severity,5,full,,,,,0.463,0.007,0.73,,,,,,,,,Supported contributor to understanding,QGNN_V4_PHASE4_RESULTS.md (Stage 1) A1
Phase 4 Stage 1,PCA-4 + Logistic Regression,"PCA(4, train-fit) of frozen embedding + LogisticRegression",primary,5,full,,,,,0.781,0.085,,,,,,,,,,Supported contributor (primary signal is low-rank),QGNN_V4_PHASE4_RESULTS.md (Stage 1) A2
Phase 4 Stage 1,PCA-128 + Logistic Regression,"PCA(128, train-fit) of frozen embedding + LogisticRegression",severity,5,full,,,,,0.48,0.011,,,,,,,,,,"Supported contributor (severity signal is distributed, not low-rank)",QGNN_V4_PHASE4_RESULTS.md (Stage 1) A2
Phase 4 Stage 2,Projection: nonlinear (B2),"Linear(128,32)->GELU->Linear(32,6)",primary,2,pilot,,,,,0.65,0.017,0.963,0.583,0.454,0.816,0.93,0.873,0.573,0.092,0.225,Not supported as major contributor,QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 2,Projection: nonlinear (B2),"Linear(128,32)->GELU->Linear(32,6)",severity,2,pilot,,,,,0.389,0.004,0.633,0.405,0.419,0.397,0.954,0.675,0.36,0.103,0.162,Not supported as major contributor,QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 2,Projection: pre-projection LayerNorm (B3),"LayerNorm(128)->Linear(128,6)",primary,2,pilot,,,,,0.729,0.032,0.98,0.641,0.488,0.94,0.929,0.934,0.647,0.083,0.205,Not supported as major contributor,QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 2,Projection: pre-projection LayerNorm (B3),"LayerNorm(128)->Linear(128,6)",severity,2,pilot,,,,,0.263,0.045,0.702,0.425,0.413,0.441,0.949,0.695,0.378,0.099,0.183,Not supported as major contributor (severity collapse),QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 2,Projection: PCA-4 (B4),"train-fit PCA(4)->Linear(4,6)",primary,2,pilot,,,,,0.391,0.094,0.905,0.35,0.237,0.802,0.776,0.789,0.352,0.161,0.29,"Investigate (contradicts Stage 1's diagnostic finding, cause not isolated)",QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 2,Projection: PCA-4 (B4),"train-fit PCA(4)->Linear(4,6)",severity,2,pilot,,,,,0.289,0.015,0.698,0.298,0.218,0.47,0.865,0.667,0.24,0.143,0.248,Investigate,QGNN_V4_PHASE4_STAGE2_RESULTS.md
Phase 4 Stage 4,"Init: small Gaussian (F2, std=0.01)",quantum_init=small_gaussian,primary,2,pilot,,,,,0.828,0.083,0.98,0.772,0.701,0.899,0.964,0.931,0.767,0.049,0.145,"Investigate (primary gain, severity cost)",QGNN_V4_PHASE4_STAGE4_RESULTS.md
Phase 4 Stage 4,"Init: small Gaussian (F2, std=0.01)",quantum_init=small_gaussian,severity,2,pilot,,,,,0.265,0.057,0.653,0.4,0.367,0.44,0.939,0.69,0.349,0.084,0.144,Not supported as major contributor (severity collapse),QGNN_V4_PHASE4_STAGE4_RESULTS.md
Phase 4 Stage 4,"Init: identity-like (F3), 2-seed pilot",quantum_init=identity_like,primary,2,pilot,,,,,0.726,0.017,0.975,0.688,0.54,0.948,0.942,0.945,0.691,0.08,0.179,Superseded by 5-seed result below,QGNN_V4_PHASE4_STAGE4_RESULTS.md
Phase 4 Stage 4,"Init: identity-like (F3), 2-seed pilot",quantum_init=identity_like,severity,2,pilot,,,,,0.38,0.102,0.647,0.403,0.374,0.441,0.94,0.69,0.353,0.126,0.206,Superseded by 5-seed result below,QGNN_V4_PHASE4_STAGE4_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.001,"quantum_init=gaussian, gaussian_std=0.001",primary,2,pilot,,,,,0.827,0.085,0.981,,,,,,0.767,,,Not supported as major contributor (redundant with std=0.01),QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.001,"quantum_init=gaussian, gaussian_std=0.001",severity,2,pilot,,,,,0.263,0.063,0.645,,,,,,0.347,,,Not supported as major contributor,QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.025,"quantum_init=gaussian, gaussian_std=0.025",primary,2,pilot,,,,,0.812,0.099,0.98,,,,,,0.764,,,Not supported as major contributor,QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.025,"quantum_init=gaussian, gaussian_std=0.025",severity,2,pilot,,,,,0.277,0.037,0.677,,,,,,0.353,,,Not supported as major contributor,QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.050,"quantum_init=gaussian, gaussian_std=0.050",primary,2,pilot,,,,,0.813,0.097,0.979,,,,,,0.764,,,"Investigate (possible severity recovery, single-seed-driven)",QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,Init scale: Gaussian std=0.050,"quantum_init=gaussian, gaussian_std=0.050",severity,2,pilot,,,,,0.386,0.074,0.612,,,,,,0.365,,,"Investigate (single-seed-driven, not confirmed)",QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,"Init: identity-like (F3), 5-seed expansion",quantum_init=identity_like,primary,5,full,,,,,0.777,0.059,0.982,0.687,0.535,0.96,0.939,0.95,0.692,0.07,0.169,Not supported as major contributor (variance reduction did not survive 5 seeds),QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 4b,"Init: identity-like (F3), 5-seed expansion",quantum_init=identity_like,severity,5,full,,,,,0.386,0.112,0.654,0.367,0.328,0.454,0.902,0.678,0.314,0.129,0.234,Not supported as major contributor (severity variance WORSE than reference),QGNN_V4_PHASE4_STAGE4B_RESULTS.md
Phase 4 Stage 5,Ansatz: hardware-efficient ring,"6q/2L, RY+RZ + CNOT ring, 24 quantum params",primary,5,full,,,,,0.8065,0.1474,0.9826,0.6743,0.5177,0.9744,0.9331,0.9537,0.6833,0.065,0.1799,"Investigate (comparable mean, ~2x primary variance of reference)",QGNN_V4_PHASE4_STAGE5_RESULTS.md
Phase 4 Stage 5,Ansatz: hardware-efficient ring,"6q/2L, RY+RZ + CNOT ring, 24 quantum params",severity,5,full,,,,,0.354,0.055,0.6731,0.4236,0.4096,0.4406,0.9488,0.6947,0.3766,0.0918,0.1585,Investigate (better severity calibration than reference),QGNN_V4_PHASE4_STAGE5_RESULTS.md
Phase 4 Stage 5,Ansatz: reduced entanglement,"6q/2L, RY only + CNOT chain, 12 quantum params",primary,5,full,,,,,0.8138,0.1047,0.984,0.6345,0.4923,0.9025,0.9339,0.9182,0.6359,0.0642,0.1802,"Investigate (comparable mean, most parameter-efficient)",QGNN_V4_PHASE4_STAGE5_RESULTS.md
Phase 4 Stage 5,Ansatz: reduced entanglement,"6q/2L, RY only + CNOT chain, 12 quantum params",severity,5,full,,,,,0.3596,0.0574,0.6713,0.3136,0.2625,0.4837,0.8279,0.6558,0.2541,0.1457,0.245,Investigate (reproducible specificity collapse on 2/5 seeds),QGNN_V4_PHASE4_STAGE5_RESULTS.md
Encoding Investigation,"Encoding: reduced scale (E1, 0.5*pi)","encoding_scale=0.5*pi, tanh",primary,2,pilot,,,,,0.8034,0.1433,0.98,,,,,,0.6456,,0.185,"Investigate (nominal gain, high variance, seed-inconsistent)",QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,"Encoding: reduced scale (E1, 0.5*pi)","encoding_scale=0.5*pi, tanh",severity,2,pilot,,,,,0.4315,0.0309,0.62,,,,,,0.3644,,,Investigate,QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,"Encoding: increased scale (E2, 2*pi)","encoding_scale=2*pi, tanh",primary,2,pilot,,,,,0.5812,0.2649,0.937,,,,,,0.4795,,0.229,Not supported as major contributor (clear regression),QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,"Encoding: increased scale (E2, 2*pi)","encoding_scale=2*pi, tanh",severity,2,pilot,,,,,0.3703,0.0257,0.678,,,,,,0.332,,,Not supported as major contributor,QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,Encoding: linear clip (E3),"encoding_type=clip, scale=pi",primary,2,pilot,,,,,0.666,0.0785,0.965,,,,,,0.554,0.09,0.198,Not supported as major contributor (measured information loss at saturation),QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,Encoding: linear clip (E3),"encoding_type=clip, scale=pi",severity,2,pilot,,,,,0.3154,0.0264,0.638,,,,,,0.2924,,,Not supported as major contributor,QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,Encoding: data re-uploading (E4),"data_reuploading=True, encode before each of 2 layers",primary,2,pilot,,,,,0.5994,0.2024,0.956,,,,,,0.5355,,0.232,Not supported as major contributor,QGNN_V4_QUANTUM_ENCODING_RESULTS.md
Encoding Investigation,Encoding: data re-uploading (E4),"data_reuploading=True, encode before each of 2 layers",severity,2,pilot,,,,,0.3787,0.0303,0.686,,,,,,0.3935,,,Not supported as major contributor,QGNN_V4_QUANTUM_ENCODING_RESULTS.md
